天体名称,距离模数,退行速度
PGC042442,31.03,1669
NGC2573,32.02,2257
IC2051,31.06,1546
NGC1473,31.34,1219
ESO015-001,31.33,1472
ESO085-014,31.31,1216
NGC2082,30.73,995
ESO005-004,32.04,1687
ESO060-019,31.63,1226
ESO090-015,32.3,1454
ESO091-003,31.51,1682
ESO019-003,32.12,1812
ESO037-005,31.48,948
IC3104,26.86,242
ESO040-007,32.02,2492
ESO009-001,32.54,2396
IC4595,32.87,3275
ESO138-013,31.79,2611
IC4633,32.28,2794
NGC6943,32.24,3011
ESO026-001,30.55,2628
ESO107-015,32.81,3268
IC5052,28.71,483
IC5084,33.69,3051
ESO107-016,32.49,1705
IC5120,32.86,3227
ESO011-005,33.25,2826
ESO048-017,31.87,2784
NGC7329,33.26,3148
IC5333,32.27,1903
ESO012-010,33.57,1786
HIPASSJ1247-77,27.65,227
UGC03787,35.91,8469
NGC4440,31.19,670
NGC4492,32.57,1677
PGC041723,31.29,780
PGC042717,32.73,2345
NGC4289,33.27,2525
NGC4503,30.35,1297
NGC4623,31.17,1726
NGC4746,32.43,1738
NGC4629,32.59,1020
UGC08085,32.37,2006
NGC4632,30.55,1634
UGC07697,33.27,2508
UGC07982,31.42,1084
UGC07991,31.55,1193
UGC08166,33.72,2897
UGC07943,31.78,772
PGC043341,31.49,1414
UGC08084,31.82,2709
NGC7503,36.43,13365
PGC2017209,24,-200
NGC7222,36.59,12492
PGC044596,35.24,6045
NGC4824,35.29,7103
PGC376039,36.57,13302
PGC027776,33.45,3060
NGC0023,33.55,4729
[MJB2015]DW1335-29,28.5,-
GAIA1,13.3,-
GAIA2,13.7,-
UGC00017,31.34,1024
ESO293-034,31.6,1477
UGC00054,34.32,4441
NGC0007,31.57,1502
ESO293-045,32.17,1428
NGC0063,31.34,1292
PGC001288,33.44,3789
UGC00196,33.74,5334
ESO150-005,30.68,1354
NGC0105,33.88,5307
UGC00256,33.4,5372
UGC00260,32.23,2263
ESO294-010,26.45,69
UGC00288,29.17,374
IC1553,32.54,2933
IC1555,31.25,1539
IC1558,29.93,1560
NGC0191,34.94,6135
UGC00392,32.15,1587
ESO079-005,31.44,1598
NGC0216,30.3,1555
PGC002492,32.06,1585
PGC002544,29.27,416
NGC0232,34.6,6694
PGC002726,36.12,11317
NGC0252,34.44,5092
ESO540-030,27.62,248
UGC00509,34.3,5294
UGC00511,34.46,4759
ESO540-032,27.79,245
NGC0274,31.43,1787
UGC00521,32.59,781
NGC0289,31.59,1608
PGC003183,33.09,4950
NGC0298,32.18,1810
PGC003285,34.77,6823
IC1601,35.37,3746
PGC003466,33.94,4881
UGC00608,32.83,2934
ESO541-005,33.11,1968
ESO351-030,19.63,76
UGC00622,32.83,2893
UGC00628,34.66,5574
UGC00634,32.15,2309
IC1610,34.34,5653
PGC004143,32.43,1927
PGC004222,34.59,5725
UGC00748,34.46,5009
UGC00764,34.7,4893
UGC00825,34.53,5512
NGC0485,32.45,2333
NGC0477,34.82,6018
UGC00909,34.62,5235
ESO352-057,34.61,5639
NGC0514,32.09,2568
UGC00958,32.7,2525
UGC00964,33.05,2820
PGC005341,33.29,2001
PGC005329,32.01,2043
UGC01020,32.99,2695
ESO476-010,31.68,1584
NGC0551,34.04,5340
UGC01070,31.75,2964
UGC01112,31.96,1774
UGC01110,32.74,2860
UGC01160,34.28,5582
NGC0634,34.4,5072
UGC01171,29.34,834
UGC01176,29.78,727
UGC01197,32.76,2901
PGC006354,29.48,882
UGC01240,31.86,1863
IC0163,31.99,2851
PGC006703,32.16,1447
IC1735,35.75,11496
PGC006864,33.23,2155
UGC01333,37.08,17780
PGC006898,32.79,1665
PGC006966,34.16,5039
NGC0721,33.74,5737
NGC0748,34.34,5338
NGC0755,31.49,1636
PGC007299,36.7,13801
NGC0779,31.44,1408
NGC0809,34.72,5348
UGC01567,36.1,9163
NGC0825,34.72,3446
IC0210,31.51,1935
PGC008295,31.42,2011
UGC01685,34.79,6298
UGC01703,28.17,158
UGC01726,34.19,5389
ESO544-030,30.72,1580
ESO544-031,35.94,15864
IC1788,33.28,3447
NGC0865,32.45,3100
PGC008778,34.71,6174
PGC008796,36.01,11127
IC0219,34.44,5042
ESO545-003,31.88,1556
ESO545-002,31.55,1576
ESO545-005,32.36,2301
NGC0895,32.74,2295
UGC01820,33.1,4066
UGC01845,31.28,4791
PGC009140,26.63,157
UGC01867,33.87,5330
PGC009272,32.59,2097
ESO479-004,31.22,1457
UGC01980,34.17,4883
UGC01999,31.73,1044
UGC01993,35.21,8143
PGC009816,32.46,3872
PGC009800,33.97,4757
NGC0988,30.94,1491
ESO545-038,35.98,4628
PGC009892,27.69,221
ESO115-021,28.53,369
UGC02171,33.91,4661
NGC1079,32.65,1376
IC1844,34.78,6826
PGC010738,36.23,10380
PGC010948,34.42,6465
PGC011004,33.27,3646
UGC02404,34.43,4987
ESO154-023,28.83,434
UGC02429,32.42,1773
ESO199-007,28.9,498
IC1870,31.22,1532
PGC011248,31.93,2360
NGC1162,33.06,3897
UGC02411,32.81,2706
IC0277,33.97,2856
PGC011365,35.52,8928
UGC02459,32.8,2592
NGC1172,31.71,1485
NGC1187,31.39,1320
ESO480-025,31.44,1646
UGC02485,31.87,2178
UGC02511,33.71,3954
ESO248-002,31.33,1261
ESO300-009,34.76,5960
IC1892,32.88,2810
PGC011767,35.47,8645
PGC011782,33.76,3078
UGC02519,32.12,2534
ESO547-012,33.12,1949
ESO357-007,31.21,1014
IC1898,31.5,1250
NGC1249,30.85,928
ESO116-012,31.71,997
ESO481-014,31.44,1649
NGC1253,31.65,1688
PGC012130,32.59,2286
ESO357-012,31.49,1456
NGC1259,34.2,5934
ESO481-018,31.34,1712
NGC1297,32.26,1507
NGC1311,28.72,425
ESO481-021,31.69,1659
PGC012608,32.21,1941
ESO301-008,31.5,1298
NGC1326A,31.02,1713
PGC012798,32.14,1807
IC1933,31.14,912
IC1919,31.45,1214
PGC012868,31.78,2233
ESO358-004,31.55,-
NGC1351A,31.44,1235
PGC013058,31.41,1696
NGC1350,31.24,1789
PGC013084,31.45,1166
IC1954,30.64,912
PGC013097,31.54,1541
UGC02773,26.69,330
IC1952,31.79,1722
IC1959,28.95,491
PGC013177,31.51,1257
NGC1366,31.6,1194
PGC013294,29.31,595
ESO358-025,31.32,1753
IC1970,31.56,1103
PGC013343,31.43,1571
NGC1387,31.41,1138
NGC1389,31.61,798
ESO358-043,31.59,1260
NGC1396,31.48,695
ESO358-042,31.55,1041
NGC1411,31.46,868
ESO358-050,31.47,1176
UGC02829,34.74,6002
NGC1428,31.55,1513
UGC02813,31.04,1535
ESO156-008,36.97,17532
ESO358-056,31.65,977
UGC02827,31.77,1678
NGC1436,30.96,1264
PGC013758,31.44,1850
NGC1437B,30.06,1374
NGC1460,31.47,1212
PGC013821,29.62,1157
ESO358-066,31.48,1362
